 DIVIPOLA,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE ,Menores de Edad (<18 años)/Hombre/VIOLENCIA DE PAREJA (CASOS),Mayores de Edad (>18 años)/Hombre/VIOLENCIA DE PAREJA (CASOS),TOTAL/HOMBRE/VIOLENCIA DE PAREJA (CASOS),Menores de Edad (<18 años)/Mujer/VIOLENCIA DE PAREJA (CASOS),Mayores de Edad (>18 años)/Mujer/VIOLENCIA DE PAREJA (CASOS),TOTAL/MUJER/VIOLENCIA DE PAREJA (CASOS),/TOTAL/VIOLENCIA DE PAREJA (CASOS),Menores de Edad (<18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),Mayores de Edad (>18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),TOTAL/HOMBRE (TASA X 100.000 HAB.)/VIOLENCIA DE PAREJA (TASAS),Menores de Edad (<18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),Mayores de Edad (>18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),TOTAL/MUJER (TASA X 100.000 HAB.)/VIOLENCIA DE PAREJA (TASAS),(TASA X 100.000 HAB.)/TOTAL/VIOLENCIA DE PAREJA (TASAS)
52,Nariño,0.0,64.0,64.0,7.0,585.0,592.0,656.0,0.0,11.401147596762787,9.5850999621089,6.8749447549082205,96.21267441630978,83.39825342644261,47.62077601538964
52022,Aldana,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,33.48961821835231,29.59455460195324,15.710919088766692
52036,Ancuyá,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,28.76042565429968,25.60819462227913,0.0,0.0,0.0,12.924906294429366
52051,Arboleda,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,64.89292667099286,55.478502080443825,27.48763056624519
52079,Barbacoas,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.199243692269544,4.778515792994695,2.3584905660377355
52083,Belén,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,39.44773175542406,35.08771929824561,18.040772145047807
52240,Chachagüí,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,85.8074480864939,74.70491558344538,37.79575175750246
52210,Contadero,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,106.34526763559022,93.72071227741331,48.18503051718599
52215,Córdoba,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,33.944331296673454,29.184298847220195,15.259021896696423
52233,Cumbitara,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,47.70992366412214,39.87240829346093,0.0,46.8384074941452,40.0962309542903,39.98400639744102
52250,El Charco,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.63232765358762,12.01345506967804,5.964451866873435
